Date,Open,High,Low,Close,Volume,Market Cap
Apr-19-2021,56183.52046,57424.30537,54333.8996,55653.24487,1.39509E+11,1.05243E+12
Apr-18-2021,60028.39,60274.64,52569.43989,56037.12872,1.85812E+11,1.04565E+12
Apr-17-2021,61342.96888,62420.53926,59767.22,60078.27,1.5975E+11,1.14474E+12
Apr-16-2021,63207.09,63493.56,60153.64549,61504.76862,1.6561E+11,1.15239E+12
Apr-15-2021,62999.98263,63628.83,62090.5,63183.14,1.69238E+11,1.17484E+12
Apr-14-2021,63545.12,64816.10187,61529.32,62628.97594,1.73884E+11,1.18494E+12
Apr-13-2021,59868.27,63720.71,59868.27,63528.48,1.5843E+11,1.16141E+12
Apr-12-2021,60007.79302,61095.00873,59586.15403,59940.53,1.00979E+11,1.12301E+12
Apr-11-2021,59716.55342,60590.05514,59246.5039,60018.28649,97875436777,1.11737E+12
Apr-10-2021,58135.35,61210.69,57951.92391,59747.4368,1.03026E+11,1.11871E+12
Apr-09-2021,58077.06,58841.41,57722.22056,58159.44,77270327842,1.0873E+12
Apr-08-2021,55872.86378,58087.98073,55819.74104,58019.88,1.04687E+11,1.06793E+12
Apr-07-2021,57979.29682,58627.11289,55558.49699,56073.47156,1.0903E+11,1.06414E+12
Apr-06-2021,59096.00169,59398.74289,57599.94356,58093.23833,1.04555E+11,1.09177E+12
Apr-05-2021,58197.97873,59134.63,56844.94889,58777.73936,97931171133,1.08453E+12
Apr-04-2021,57092.44616,58412.53402,56589.61934,58215.19,1.04713E+11,1.07751E+12
Apr-03-2021,58975.83354,59690.99804,57022.93147,57139.13796,91212846892,1.10037E+12
Apr-02-2021,58727.64838,60063.77636,58529.49812,58963.3276,1.05129E+11,1.10663E+12
Apr-01-2021,58751.79059,59319.27069,58147.84487,58755.61518,1.15654E+11,1.09918E+12
Mar-31-2021,58763.82796,59777.71,57447.36,58719.45437,1.02853E+11,1.09575E+12
Mar-30-2021,57612.52299,59311.03858,57140.7,58693.94856,98089413350,1.08931E+12
Mar-29-2021,55748.63201,58339.97395,54994.35,57664.85097,91499980031,1.0624E+12
Mar-28-2021,55841.63478,56489.17,54850.21,55861.95,82011404714,1.04207E+12
Mar-27-2021,55008.05654,56456.80392,54033.56868,55917.88011,88506866567,1.02963E+12
Mar-26-2021,51355.70456,55002.76979,51355.70456,55002.76979,1.08543E+11,9.92845E+11
